[2025-08-03 15:35:08,705] DEBUG myapp (queries.py:345): Decoded User ID: VXRpbGlzYXRldXJUeXBlOmYyYTlmNmQzLWU3ZTAtNDVlYi1iOTIzLWI0ZmI3NWJiNDMyMw==
[2025-08-03 15:35:08,706] DEBUG myapp (queries.py:346): decoded_str: UtilisateurType:f2a9f6d3-e7e0-45eb-b923-b4fb75bb4323
[2025-08-03 15:35:08,706] DEBUG myapp (queries.py:347): clean_user_id: f2a9f6d3-e7e0-45eb-b923-b4fb75bb4323
[2025-08-03 15:35:14,134] DEBUG myapp (queries.py:345): Decoded User ID: VXRpbGlzYXRldXJUeXBlOmYyYTlmNmQzLWU3ZTAtNDVlYi1iOTIzLWI0ZmI3NWJiNDMyMw==
[2025-08-03 15:35:14,135] DEBUG myapp (queries.py:346): decoded_str: UtilisateurType:f2a9f6d3-e7e0-45eb-b923-b4fb75bb4323
[2025-08-03 15:35:14,136] DEBUG myapp (queries.py:347): clean_user_id: f2a9f6d3-e7e0-45eb-b923-b4fb75bb4323
[2025-08-03 17:13:23,526] DEBUG myapp (queries.py:345): Decoded User ID: VXRpbGlzYXRldXJUeXBlOmYyYTlmNmQzLWU3ZTAtNDVlYi1iOTIzLWI0ZmI3NWJiNDMyMw==
[2025-08-03 17:13:23,527] DEBUG myapp (queries.py:346): decoded_str: UtilisateurType:f2a9f6d3-e7e0-45eb-b923-b4fb75bb4323
[2025-08-03 17:13:23,528] DEBUG myapp (queries.py:347): clean_user_id: f2a9f6d3-e7e0-45eb-b923-b4fb75bb4323
[2025-08-03 17:19:53,502] DEBUG myapp (queries.py:345): Decoded User ID: VXRpbGlzYXRldXJUeXBlOmYyYTlmNmQzLWU3ZTAtNDVlYi1iOTIzLWI0ZmI3NWJiNDMyMw==
[2025-08-03 17:19:53,502] DEBUG myapp (queries.py:346): decoded_str: UtilisateurType:f2a9f6d3-e7e0-45eb-b923-b4fb75bb4323
[2025-08-03 17:19:53,503] DEBUG myapp (queries.py:347): clean_user_id: f2a9f6d3-e7e0-45eb-b923-b4fb75bb4323
[2025-08-03 17:36:27,154] DEBUG myapp (queries.py:345): Decoded User ID: VXRpbGlzYXRldXJUeXBlOmYyYTlmNmQzLWU3ZTAtNDVlYi1iOTIzLWI0ZmI3NWJiNDMyMw==
[2025-08-03 17:36:27,154] DEBUG myapp (queries.py:346): decoded_str: UtilisateurType:f2a9f6d3-e7e0-45eb-b923-b4fb75bb4323
[2025-08-03 17:36:27,155] DEBUG myapp (queries.py:347): clean_user_id: f2a9f6d3-e7e0-45eb-b923-b4fb75bb4323
[2025-08-03 18:00:05,698] DEBUG myapp (queries.py:345): Decoded User ID: VXRpbGlzYXRldXJUeXBlOmYyYTlmNmQzLWU3ZTAtNDVlYi1iOTIzLWI0ZmI3NWJiNDMyMw==
[2025-08-03 18:00:05,699] DEBUG myapp (queries.py:346): decoded_str: UtilisateurType:f2a9f6d3-e7e0-45eb-b923-b4fb75bb4323
[2025-08-03 18:00:05,699] DEBUG myapp (queries.py:347): clean_user_id: f2a9f6d3-e7e0-45eb-b923-b4fb75bb4323
[2025-08-03 18:00:37,279] DEBUG myapp (queries.py:345): Decoded User ID: VXRpbGlzYXRldXJUeXBlOmYyYTlmNmQzLWU3ZTAtNDVlYi1iOTIzLWI0ZmI3NWJiNDMyMw==
[2025-08-03 18:00:37,279] DEBUG myapp (queries.py:346): decoded_str: UtilisateurType:f2a9f6d3-e7e0-45eb-b923-b4fb75bb4323
[2025-08-03 18:00:37,279] DEBUG myapp (queries.py:347): clean_user_id: f2a9f6d3-e7e0-45eb-b923-b4fb75bb4323
[2025-08-03 18:02:58,574] DEBUG myapp (queries.py:345): Decoded User ID: VXRpbGlzYXRldXJUeXBlOmYyYTlmNmQzLWU3ZTAtNDVlYi1iOTIzLWI0ZmI3NWJiNDMyMw==
[2025-08-03 18:02:58,574] DEBUG myapp (queries.py:346): decoded_str: UtilisateurType:f2a9f6d3-e7e0-45eb-b923-b4fb75bb4323
[2025-08-03 18:02:58,575] DEBUG myapp (queries.py:347): clean_user_id: f2a9f6d3-e7e0-45eb-b923-b4fb75bb4323
